Duration,duration_seconds
several seconds,
2 minutes,120.0
10 seconds,10.0
nan,
?,
1 hour,3600.0
approx 3 sec.,3.0
1 minute,60.0
2 minutes,120.0
2 1/2 hours,7200.0
2 hours,7200.0
30 min,1800.0
2 minutes,120.0
30 seconds,30.0
5 minutes,300.0
2 min,120.0
1 minute,60.0
5 mins,300.0
5 minutes,300.0
10 minutes,600.0
~2,
1 minutes,60.0
120 seconds,120.0
2-3 minutes,2.5
nan,
2:00,
15 minutes,900.0
15 seconds,15.0
1 minute,60.0
roughly 7-10 minutes,600.0
15 minutes,900.0
nan,
1 minute,60.0
30 min,1800.0
5 minutes,300.0
5 minutes,300.0
1 hour,3600.0
30 min,1800.0
one minute,60.0
1 second,1.0
1 minute,60.0
about 1 hour,3600.0
33 seconds,33.0
5 minutes,300.0
2 minutes,120.0
15 min,900.0
4 minutes,240.0
every night to date,
until 7 am,
8 minutes,480.0
45 seconds,45.0
10 seconds,10.0
few seconds,5.0
3 minutes,180.0
5 secs,5.0
30 minutes,1800.0
one minute,60.0
2 minutes,120.0
5+ min,
10-15 seconds,12.5
3-7 seconds,5.0
3 minutes,180.0
15 minutes,900.0
10 minutes,600.0
45 minutes,2700.0
4,4.0
20 minutes +,1200.0
8-10min,9.0
1 1/2 minutes,120.0
1 minute,60.0
1 min,60.0
20 minutes,1200.0
thirty minutes,
6hrs.,21600.0
20 min,1200.0
10 mins,600.0
11minutes,660.0
???,
15 seconds,15.0
25-30 seconds,27.5
several hour’s,
nan,
5 minutes,300.0
2-3 minutes,2.5
not sure,
5 mins,300.0
6-10 seconds,8.0
15 seconds,15.0
5 minutes,300.0
69 seconds,69.0
5 minutes,300.0
2-3 seconds,2.5
3 minutes,180.0
nan,
all night,
10 minutes,600.0
still happening,
2 minutes,120.0
20 min,1200.0
3 seconds,3.0
3 seconds,3.0
10 seconds,10.0
~45 minutes,2700.0
1minute,60.0
2 minutes,120.0
5 minutes,300.0
nan,
15 minutes,900.0
i have video of 45 sec.,45.0
>1 hour,3600.0
4-5 seconds,4.5
8 seconds,8.0
2 hours,7200.0
about 10 minutes,600.0
3 minutes,180.0
nan,
15 minutes,900.0
5 minutes,300.0
15-30 seconds,22.5
5 minutes,300.0
approx 30 minutes,1800.0
2 minutes,120.0
nan,
4 sec.,4.0
several,
10 seconds,10.0
10 minutes,600.0
15 minutes,900.0
5 minutes,300.0
10-15 seconds,12.5
20 minutes,1200.0
1 hr 30 mins,5400.0
nan,
3 min,180.0
30 sec.,30.0
5-8 minutes,6.5
2 minutes,120.0
15 minutes,900.0
15 minutes,900.0
fifteen minutes,
l0 minutes,
15 min,900.0
1 hour,3600.0
10 minutes,600.0
30 minutes,1800.0
5-10 sec,7.5
8-10 minutes,9.0
10 minutes,600.0
3 seconds,3.0
5 minutes,300.0
90 second,90.0
6-8 seconds,7.0
nan,
3 minutes,180.0
5 minutes,300.0
5-10 seconds,7.5
nan,
<5 minutes,300.0
20 minutes,1200.0
5 minutes,300.0
1 minute,60.0
unk,
all day - still going on,
3 seconds,3.0
nan,
1 minute,60.0
approximately 15 minutes,900.0
2 minutes,120.0
nan,
15 seconds,15.0
1 minute,60.0
10 seconds,10.0
2 minutes,120.0
5 minutes,300.0
2 minutes,120.0
10 minutes,600.0
2 minutes,120.0
15 minutes,900.0
10-15min,12.5
15/20 secs,20.0
2 seconds,2.0
1 hour,3600.0
15-30 minutes,22.5
5 minutes,300.0
15 minutes,900.0
nan,
only a couple seconds.,
12 minutes,720.0
45 minutes,2700.0
2 minutes,120.0
2 minutes,120.0
10 seconds,10.0
15 minutes,900.0
3 minutes,180.0
seconds,
few seconds,5.0
15min,900.0
3 hours,10800.0
two minutes,
about an hour,
4 minutes,240.0
1-2 minutes,1.5
10-15 minutes,12.5
5 minutes,300.0
5 min,300.0
20 minutes,1200.0
nan,
8-10 seconds,9.0
3 to 4 seconds,4.0
15 min.,900.0
6 mins,360.0
1 minute,60.0
5 sec intervals,5.0
several hours,10800.0
5 minutes,300.0
2 minutes,120.0
20-25 mins,22.5
15 minutes,900.0
nan,
20 minutes,1200.0
5 seconds,5.0
viewed while riding shotg,
30sec.,30.0
5 seconds,5.0
2-3 seconds,2.5
>20 minutes,1200.0
nan,
10 minutes,600.0
4-5 seconds,4.5
20 seconds,20.0
nan,
30 seconds,30.0
10 sec,10.0
10 minutes,600.0
20 minutes,1200.0
6 minutes,360.0
constant,
10 minutes,600.0
2-3 mintues,2.5
nan,
2 min,120.0
4-5 seconds,4.5
10-20seconds,15.0
several mins.,
15 min,900.0
30 seconds,30.0
1 hour,3600.0
less than a second,
30mins,1800.0
south,
3-4 minutes,3.5
10 minutes,600.0
28 minutes,1680.0
not that long,
15 seconds,15.0
1.5minutes,90.0
5 min,300.0
5 minutes,300.0
2 seconds,2.0
3 minutes,180.0
5 to 7 sec.,7.0
20 seconds,20.0
6min,360.0
2 minutes,120.0
5 minutes,300.0
2 mins,120.0
1 minute,60.0
nan,
4 minutes,240.0
10 minutes,600.0
appx. 5 minutes,300.0
